City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,Inverness,100,GB,04/24/2021,93,57.4791,-4.224,37.0,1.14
310,Nizhniy Odes,100,RU,04/24/2021,86,63.6445,54.856,41.58,10.4
311,Raja,98,SS,04/24/2021,74,8.4596,25.678,74.08,7.94
312,Reynosa,1,MX,04/24/2021,53,26.0833,-98.2833,77.0,9.22
313,Hamilton,90,US,04/24/2021,100,39.1834,-84.5333,50.0,3.74
314,Bambanglipuro,45,ID,04/24/2021,63,-7.95,110.2833,85.93,8.95
315,Hofn,100,IS,04/24/2021,86,64.2539,-15.2082,44.92,3.85
316,Mugur-Aksy,52,RU,04/24/2021,52,50.35,90.5,21.24,11.03
317,Zyryanka,100,RU,04/24/2021,61,65.75,150.85,24.19,4.14
318,Thanh Hoa,92,VN,04/24/2021,71,19.8,105.7667,86.76,9.33
319,Shingū,40,JP,04/24/2021,46,33.7333,135.9833,71.6,19.57
320,Lalawigan,53,PH,04/24/2021,79,11.5892,125.4697,82.47,7.61
321,Grajaú,90,BR,04/24/2021,97,-5.8194,-46.1386,72.81,3.31
322,Puerto Baquerizo Moreno,91,EC,04/24/2021,88,-0.9,-89.6,75.15,9.22
323,Geraldton,91,AU,04/24/2021,32,-28.7667,114.6,86.0,10.36
324,Sinjār,81,IQ,04/24/2021,18,36.3209,41.8754,77.56,9.17
325,Imbituba,0,BR,04/24/2021,88,-28.24,-48.6703,69.8,5.75
326,Myskhako,100,RU,04/24/2021,81,44.6714,37.7433,48.2,8.95
327,Mossamedes,37,AO,04/24/2021,83,-15.1961,12.1522,76.5,3.87
328,Hambantota,20,LK,04/24/2021,79,6.1241,81.1185,87.8,2.3
329,Kaputa,73,ZM,04/24/2021,90,-8.4689,29.6619,67.21,0.98
330,Margate,5,GB,04/24/2021,72,51.3813,1.3862,45.0,4.0
331,Barabai,41,ID,04/24/2021,38,-2.5833,115.3833,96.94,2.57
332,Sirumugai,40,IN,04/24/2021,66,11.3333,77.0167,86.0,2.3
333,Cockburn Town,7,TC,04/24/2021,75,21.4612,-71.1419,78.46,20.74
334,Sangar,98,RU,04/24/2021,99,63.9242,127.4739,32.43,3.02
335,Kiryat Gat,4,IL,04/24/2021,85,31.61,34.7642,64.99,1.01
336,Kismayo,77,SO,04/24/2021,70,-0.3582,42.5454,84.07,8.81
